ss_code,product_name,price,currency
43-75,COMBAT PATROL: DEATH GUARD,141.0,USD
43-76,DEATH GUARD: POXWALKERS,36.0,USD
43-77,DEATH GUARD LORD OF VIRULENCE,36.0,USD
43-78,DEATH GUARD: MIASMIC MALIGNIFIER,61.0,USD
44-01,CODEX: DARK ANGELS (HB) (ENGLISH),31.0,USD
44-01,CODEX: DARK ANGELS (HB/ABR.) (SPANISH),26.0,USD
44-02,DATACARDS: DARK ANGELS (ENGLISH),16.0,USD
44-09,DARK ANGELS: COMPANY VETERANS,34.0,USD
44-10,DARK ANGELS: DEATHWING COMMAND SQUAD,61.0,USD
44-11,DARK ANGELS RAVENWING COMMAND SQUAD,55.0,USD
44-17,COMBAT PATROL: DARK ANGELS,141.0,USD
44-75,DARK ANGELS PRIMARIS UPGRADES,15.0,USD
44-80,DARK ANGELS UPGRADES,16.0,USD
45-01-60,CODEX: DRUKHARI (HB) (ENGLISH),41.0,USD
45-07,DRUKHARI KABALITE WARRIORS,37.0,USD
45-08,DARK ELDAR WYCHES,37.0,USD
45-10,DRUKHARI RAIDER,49.0,USD
45-11,DRUKHARI TALOS,56.0,USD
45-16,DRUKHARI SCOURGES,35.0,USD
45-18,DRUKHARI VENOM,37.0,USD
45-22,DRUKHARI ARCHON,30.0,USD
45-40,DRUKHARI INCUBI,56.0,USD
45-41,DRUKHARI DRAZHAR,41.0,USD
46-01-03,CODEX: CRAFTWORLDS (ABR.) (HB) (SPANISH),36.0,USD
46-01-60,CODEX: CRAFTWORLDS (HB) (ENGLISH),41.0,USD
46-02-60,DATACARDS: CRAFTWORLDS (ENGLISH),19.0,USD
46-05,CRAFTWORLDS FARSEER,30.0,USD
46-06,CRAFTWORLDS WINDRIDERS,51.0,USD
46-09,CRAFTWORLDS GUARDIANS,41.0,USD
46-13,CRAFTWORLDS WRAITHGUARD,56.0,USD
46-14,CRAFTWORLDS HEMLOCK WRAITHFIGHTER,81.0,USD
46-15,CRAFTWORLDS DIRE AVENGERS,36.0,USD
46-17,CRAFTWORLDS WRAITHLORD,56.0,USD
46-18,CRAFTWORLDS WAR WALKER,37.0,USD
46-19,CRAFTWORLDS SKYRUNNER,37.0,USD
46-21,CRAFTWORLDS WAVE SERPENT,59.0,USD
46-26,CRAFTWORLDS WRAITHKNIGHT,141.0,USD
46-27,YNNARI: TRIUMVIRATE OF YNNEAD,81.0,USD
46-42,ELDAR DARK REAPERS,50.0,USD
46-45,CRAFTWORLDS HOWLING BANSHEES,56.0,USD
46-49,CRAFTWORLDS JAIN ZAR,41.0,USD
46-60,CRAFTWORLDS ELDRAD ULTHRAN,35.0,USD
46-61,CRAFTWORLDS SPIRITSEER,31.0,USD
47-01-03,CODEX: ASTRA MILITARUM (HB) (ABR.) SPA,36.0,USD
47-01-60,CODEX: ASTRA MILITARUM (HB) (ENGLISH),41.0,USD
47-02-60,DATACARDS: ASTRA MILITARUM (ENGLISH),19.0,USD
47-06,ASTRA MILITARUM LEMAN RUSS BATTLE TANK,60.0,USD
47-07,ASTRA MILITARUM CHIMERA,49.0,USD
47-09,ASTRA MILITARUM CADIAN COMMAND SQUAD,37.0,USD
47-10,ASTRA MILITARUM VALKYRIE,81.0,USD
47-11,ASTRA MILITARUM LEMAN RUSS DEMOLISHER,60.0,USD
47-12,ASTRA MILITARUM SENTINEL,37.0,USD
47-14,MILITARUM AUXILLA BULLGRYNS,56.0,USD
47-15,MILITARUM TEMPESTUS SCIONS,39.0,USD
47-17,ASTRA MILITARUM CADIAN INFANTRY SQUAD,37.0,USD
47-19,A/MILITARUM CADIAN HEAVY WEAPON SQUAD,41.0,USD
47-20,OFFICIO PREFECTUS COMMISSAR,30.0,USD
47-21,ASTRA MILITARUM HYDRA,61.0,USD
47-24,ASTRA MILITARUM BANEBLADE,141.0,USD
47-27,ASTRA MILITARUM TECH-PRIEST ENGINSEER,34.0,USD
48-01,CODEX: SPACE MARINES (ABR.) (HB) SPANISH,41.0,USD
48-01,CODEX: SPACE MARINES (HB) (ENGLISH),51.0,USD
48-02,DATACARDS: SPACE MARINES (ENGLISH),26.0,USD
48-07,SPACE MARINES TACTICAL SQUAD,50.0,USD
48-09,SPACE MARINES ASSAULT SQUAD,50.0,USD
48-10,SPACE MARINES TERMINATOR SQUAD,55.0,USD
48-11,SPACE MARINE BIKE SQUAD,41.0,USD
48-15,SPACE MARINES DEVASTATOR SQUAD,55.0,USD
48-16,SPACE MARINES SCOUTS,35.0,USD
48-18,SPACE MARINES VANGUARD VETERAN SQUAD,49.0,USD
48-19,SPACE MARINE STERNGUARD VETERAN SQUAD,59.0,USD
48-20,SPACE MARINE ATTACK BIKE,35.0,USD
48-21,SPACE MARINES RAZORBACK,46.0,USD
48-22,SPACE MARINES: HAMMERFALL BUNKER,61.0,USD
48-23,SPACE MARINES PREDATOR,61.0,USD
48-24,SPACE MARINES CENTURION ASSAULT SQUAD,79.0,USD
48-25,SPACE MARINES VINDICATOR,61.0,USD
48-27,SPACE MARINES DROP POD,45.0,USD
48-29,SPACE MARINES SCOUTS WITH SNIPER RIFLES,35.0,USD
48-30,S/MARINES LAND RAIDER CRUSADER/REDEEMER,97.0,USD
48-31,SPACE MARINES: PRIMARIS CHAPLAIN ON BIKE,46.0,USD
48-32,SPACE MARINES VENERABLE DREADNOUGHT,60.0,USD
48-34,SPACE MARINES TERMINATOR ASSAULT SQUAD,56.0,USD
48-35,SPACE MARINE LAND SPEEDER STORM,37.0,USD
48-36,SPACE MARINES: ASSAULT INTERCESSORS,61.0,USD
48-37,SPACE MARINES GLADIATOR,81.0,USD
48-38,SPACE MARINES LIBRARIAN,34.0,USD
48-39,SPACE MARINES PRIMARIS TECHMARINE,36.0,USD
48-41,SPACE MARINES OUTRIDERS,61.0,USD
48-42,SPACE MARINES STORMHAWK INTERCEPTOR,61.0,USD
48-43,SPACE MARINES PRIMARIS ERADICATORS,51.0,USD
48-44,SPACE MARINES BLADEGUARD VETERANS,51.0,USD
48-45,SPACE MARINES STORM SPEEDER,66.0,USD
48-46,SPACE MARINES IRONCLAD DREADNOUGHT,59.0,USD
48-50,SPACE MARINES PRIMARIS INVADER ATV,41.0,USD
48-51,SPACE MARINES COMPANY COMMAND,51.0,USD
48-52,SPACE MARINES FIRESTRIKE SERVO-TURRET,36.0,USD
48-55,S/MARINES PRIMARIS REPULSOR EXECUTIONER,101.0,USD
48-60,SPACE MARINES PRIMARIS APOTHECARY,36.0,USD
48-61,SPACE MARINES PRIMARIS CAPTAIN,36.0,USD
48-62,SPACE MARINES PRIMARIS CHAPLAIN,36.0,USD
48-63,SPACE MARINES PRIMARIS LIBRARIAN,36.0,USD
48-64,PRIMARIS LIEUTENANT IN PHOBOS ARMOUR,36.0,USD
48-67,PRIMARIS LIBRARIAN IN PHOBOS ARMOUR,36.0,USD
48-68,SPACE MARINES CAPTAIN IN PHOBOS ARMOUR,37.0,USD
48-69,SPACE MARINES PRIMARIS AGGRESSORS,51.0,USD
48-71,SPACE MARINES PRIMARIS REIVERS,61.0,USD
48-75,SPACE MARINES PRIMARIS INTERCESSORS,61.0,USD
48-76,SPACE MARINES PRIMARIS HELLBLASTERS,61.0,USD
48-77,S/MARINES PRIMARIS REDEMPTOR DREADNOUGHT,66.0,USD
48-78,SPACE MARINES PRIMARIS REPULSOR,81.0,USD
48-79,SPACE MARINES PRIMARIS INCEPTORS,51.0,USD
48-84,S/M PRIMARIS LIEUTENANT WITH POWER SWORD,36.0,USD
48-93,SPACE MARINES PRIMARIS ELIMINATORS,51.0,USD
48-94,SPACE MARINES PRIMARIS IMPULSOR,76.0,USD
48-97,SPACE MARINES PRIMARIS INFILTRATORS,61.0,USD
48-98,S/M PRIMARIS INVICTOR TACTICAL WARSUIT,61.0,USD
49-01,CODEX: NECRONS (ABR.) (HB) (SPANISH),41.0,USD
49-01,CODEX: NECRONS (HB) (ENGLISH),51.0,USD
49-03,DATACARDS: NECRONS (ENGLISH),26.0,USD
49-06,NECRONS: NECRON WARRIORS,46.0,USD
49-07,NECRONS: TRIARCH PRAETORIANS,49.0,USD
49-09,NECRONS MONOLITH,172.0,USD
49-10,NECRONS: IMMORTALS,39.0,USD
49-11,NECRONS: GHOST ARK,56.0,USD
49-12,NECRONS: CATACOMB COMMAND BARGE,49.0,USD
49-13,NECRONS: TOMB BLADES,50.0,USD
49-14,NECRONS: CANOPTEK WRAITHS,56.0,USD
49-15,NECRONS: DOOM SCYTHE,61.0,USD
49-16,NECRONS: CANOPTEK SPYDER,39.0,USD
49-18,NECRONS: TRIARCH STALKER,56.0,USD
49-20,NECRONS: OVERLORD,29.0,USD
49-22,NECRONS: CRYPTEK,36.0,USD
49-25,NECRONS: CONVERGENCE OF DOMINION,61.0,USD
49-26,NECRONS: SZAREKH THE SILENT KING,152.0,USD
49-27,NECRONS HEXMARK DESTROYER,36.0,USD
49-28,NECRONS LOKHUSTS HEAVY DESTROYER,36.0,USD
49-29,NECRONS CANOPTEK DOOMSTALKER,41.0,USD
49-30,NECRONS: C'TAN SHARD OF THE VOID DRAGON,111.0,USD
49-31,NECRONS SKORPEKH DESTROYERS,56.0,USD
49-32,NECRONS OPHYDIAN DESTROYERS,56.0,USD
49-33,NECRONS PSYCHOMANCER,36.0,USD
49-66,NECRONS ILLUMINOR SZERAS,51.0,USD
50-01-03,CODEX: ORKS (HB) (ABRIDGED) (SPANISH),36.0,USD
50-01-60,CODEX: ORKS (HB) (ENGLISH),41.0,USD
50-02-60,DATACARDS: ORKS (ENGLISH),19.0,USD
50-07,ORK WARBIKER MOB,46.0,USD
50-08,ORK MEGANOBZ,64.0,USD
50-09,ORK TRUKK,45.0,USD
50-10,ORK BOYZ,37.0,USD
50-12,ORK NOBZ,35.0,USD
50-13,ORK STORMBOYZ,35.0,USD
50-16,ORKS GRETCHIN,19.0,USD
50-17,ORK KILLA KANS,56.0,USD
50-19,ORK GORKANAUT,126.0,USD
50-20,ORK BATTLEWAGON,76.0,USD
50-22,ORK LOOTAS,35.0,USD
50-24,ORK FLASH GITZ,56.0,USD
50-25,ORKS PAINBOY,30.0,USD
50-26,ORK MEK GUN,51.0,USD
50-28,ORKS MEKBOY WORKSHOP,49.0,USD
50-29,ORKS: GHAZGHKULL THRAKA,66.0,USD
50-32,ORK WAZBOM BLASTAJET,76.0,USD
50-33,ORKS WARBOSS GRUKK'S BOSS MOB,51.0,USD
