mini,faction,material,edition,year
Baharroth Wings,Craftworlds,Metal,Warhammer 40K: Rogue Trader,1990
Warp Spiders,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Avatar of Khaine,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Asurmen,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Karandras,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Fuegan,Craftworlds,Metal,Warhammer 40K: 2nd Edition,1994
Baharroth,Craftworlds,Metal,Warhammer 40K: 2nd Edition,1994
Maugan Ra,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Warp Spider Exarch,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Warlock with Witchblade,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Warlock with Spear,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Shining Spears and Autarch Skyrunner,Craftworlds,Plastic,Warhammer 40K: 2nd Edition,1994
Vyper,Craftworlds,Plastic,Warhammer 40K: 2nd Edition,1997
Falcon,Craftworlds,Plastic,Warhammer 40K: 2nd Edition,1997
Warlock with Witchblade,Craftworlds,Metal,Warhammer 40K: 3rd Edition,1999
Guardian Squad,Craftworlds,Plastic,Warhammer 40K: 3rd Edition,1999
Shining Spears,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,1999
Shining Spears Exarch,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,1999
Swooping Hawks,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,2000
Warlock with Witchblade 2,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,2003
Storm Guardians,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,2003
Wave Serpent,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2005
Rangers,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Guardian Heavy Weapon Platform,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Farseer (and the Farseer and Warlocks box),Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Prince Yriel,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Striking Scorpions,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Dire Avengers,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Dark Reapers,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
War Walker,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Vehicle Heavy Weapon Sprue,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Fire Dragons,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Wraithlord,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Autarch Skyrunner,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2007
Support Weapon,Craftworlds,Plastic,Warhammer 40K: 5th Edition,2010
Fire Prism,Craftworlds,Plastic,Warhammer 40K: 5th Edition,2010
Night Spinner,Craftworlds,Plastic,Warhammer 40K: 5th Edition,2010
Wraithknight,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Wraithguard,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Wraithblades,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Illic Nightspear,Craftworlds,Finecast,Warhammer 40K: 6th Edition,2013
Farseer,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Hemlock Wraithfighter,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Crimson Hunter,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Autarch,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2015
Farseer Skyrunner,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2015
Warlock Skyrunner,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2015
Windriders,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2015
Eldrad Ulthran,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2016
Spiritseer,Craftworlds,Plastic,Warhammer 40K: 8th Edition,2018
Jain Zar,Craftworlds,Plastic,Warhammer 40K: 8th Edition,2019
Howling Banshees,Craftworlds,Plastic,Warhammer 40K: 8th Edition,2019
Shroud Runners,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Rangers,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Autarch,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Maugan Ra,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Dark Reapers,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Warlocks,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Guardians,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Storm Guardians,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Avatar of Khaine,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Shining Spears,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Kabalite Warriors,Drukhari,Plastic,Warhammer 40K: 5th Edition,2010
Wyches,Drukhari,Plastic,Warhammer 40K: 5th Edition,2010
Reavers,Drukhari,Plastic,Warhammer 40K: 5th Edition,2010
Hellions,Drukhari,Plastic,Warhammer 40K: 5th Edition,2010
Raider,Drukhari,Plastic,Warhammer 40K: 5th Edition,2010
Ravager,Drukhari,Plastic,Warhammer 40K: 5th Edition,2010
Mandrakes,Drukhari,Finecast,Warhammer 40K: 5th Edition,2010
Urien Rakarth,Drukhari,Finecast,Warhammer 40K: 5th Edition,2010
Lelith Hesperax,Drukhari,Finecast,Warhammer 40K: 5th Edition,2010
Beastmaster,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Khymerae,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Clawed Fiend,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Razorwing Flock,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Scourges,Drukhari,Plastic,Warhammer 40K: 5th Edition,2011
Talos,Drukhari,Plastic,Warhammer 40K: 5th Edition,2011
Cronos,Drukhari,Plastic,Warhammer 40K: 5th Edition,2011
Razorwing Jetfighter,Drukhari,Plastic,Warhammer 40K: 5th Edition,2011
Venom,Drukhari,Plastic,Warhammer 40K: 5th Edition,2011
Grotesque,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Ur-Ghul,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Medusae,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Sslyth,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Lhamaean,Drukhari,Finecast,Warhammer 40K: 5th Edition,2011
Haemonculus,Drukhari,Plastic,Warhammer 40K: 6th Edition,2014
Wracks,Drukhari,Plastic,Warhammer 40K: 6th Edition,2014
Voidraven Bomber,Drukhari,Plastic,Warhammer 40K: 6th Edition,2014
Succubus,Drukhari,Plastic,Warhammer 40K: 6th Edition,2014
Archon,Drukhari,Plastic,Warhammer 40K: 6th Edition,2014
Drazhar,Drukhari,Plastic,Warhammer 40K: 8th Edition,2019
Incubi,Drukhari,Plastic,Warhammer 40K: 8th Edition,2019
Lelith Hesperax,Drukhari,Plastic,Warhammer 40K: 9th Edition,2021
Troupe,Harlequins,Plastic,Warhammer 40K: 7th Edition,2015
Troupe Master,Harlequins,Plastic,Warhammer 40K: 7th Edition,2015
Solitaire,Harlequins,Plastic,Warhammer 40K: 7th Edition,2015
Death Jester,Harlequins,Plastic,Warhammer 40K: 7th Edition,2015
Shadowseer,Harlequins,Plastic,Warhammer 40K: 7th Edition,2015
Skyweavers,Harlequins,Plastic,Warhammer 40K: 7th Edition,2015
Starweaver,Harlequins,Plastic,Warhammer 40K: 7th Edition,2015
Voidweaver,Harlequins,Plastic,Warhammer 40K: 7th Edition,2015
The Yncarne,Ynnari,Plastic,Warhammer 40K: 7th Edition,2017
Yvraine,Ynnari,Plastic,Warhammer 40K: 7th Edition,2017
The Visarch,Ynnari,Plastic,Warhammer 40K: 7th Edition,2017
Scout Sentinel,Genestealer_Cult,Plastic,Warhammer 40K: 5th Edition,2009
Leman Russ,Genestealer_Cult,Plastic,Warhammer 40K: 5th Edition,2010
Goliath Truck,Genestealer_Cult,Plastic,Warhammer 40K: 7th Edition,2016
Goliath Rockgrinder,Genestealer_Cult,Plastic,Warhammer 40K: 7th Edition,2016
Broodcoven,Genestealer_Cult,Plastic,Warhammer 40K: 7th Edition,2016
Acolyte Hybrids,Genestealer_Cult,Plastic,Warhammer 40K: 7th Edition,2016
Hybrid Metamorphs,Genestealer_Cult,Plastic,Warhammer 40K: 7th Edition,2016
Neophyte Hybrids,Genestealer_Cult,Plastic,Warhammer 40K: 7th Edition,2016
Acolyte Iconward,Genestealer_Cult,Plastic,Warhammer 40K: 7th Edition,2016
Brood Brothers,Genestealer_Cult,Plastic,Warhammer 40K: 7th Edition,2016
Aberrants,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2018
Abominant,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2018
Kelermorph,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Achilles Ridgerunner,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Atalan Jackals,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Biophagus,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Clamavus,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Nexos,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Sanctus,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Jackal Alphus,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Locus,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Magus,Genestealer_Cult,Plastic,Warhammer 40K: 8th Edition,2019
Reductus Saboteur,Genestealer_Cult,Plastic,Warhammer 40K: 9th Edition,2021
Termagant Brood,Tyranids,Plastic,Warhammer 40K: 3rd Edition,2001
Hormagaunt Brood,Tyranids,Plastic,Warhammer 40K: 3rd Edition,2001
Red Terror,Tyranids,Finecast,Warhammer 40K: 3rd Edition,2001
Spore Mine Cluster,Tyranids,Finecast,Warhammer 40K: 3rd Edition,2001
Genestealer Brood,Tyranids,Plastic,Warhammer 40K: 4th Edition,2005
Carnifex Brood,Tyranids,Plastic,Warhammer 40K: 4th Edition,2005
Screamer-killer Brood,Tyranids,Plastic,Warhammer 40K: 4th Edition,2005
Old One Eye,Tyranids,Plastic,Warhammer 40K: 4th Edition,2005
Lictor,Tyranids,Finecast,Warhammer 40K: 4th Edition,2005
Deathleaper,Tyranids,Finecast,Warhammer 40K: 4th Edition,2006
Biovore,Tyranids,Finecast,Warhammer 40K: 4th Edition,2006
Trygon,Tyranids,Plastic,Warhammer 40K: 5th Edition,2010
Mawloc,Tyranids,Plastic,Warhammer 40K: 5th Edition,2010
Ravener Brood,Tyranids,Plastic,Warhammer 40K: 5th Edition,2010
Gargoyle Brood,Tyranids,Plastic,Warhammer 40K: 5th Edition,2010
Pyrovore,Tyranids,Finecast,Warhammer 40K: 5th Edition,2010
Tyrannofex,Tyranids,Plastic,Warhammer 40K: 5th Edition,2012
Tervigon,Tyranids,Plastic,Warhammer 40K: 5th Edition,2012
Hive Tyrant,Tyranids,Plastic,Warhammer 40K: 5th Edition,2012
Swarmlord,Tyranids,Plastic,Warhammer 40K: 5th Edition,2012
Harpy,Tyranids,Plastic,Warhammer 40K: 6th Edition,2014
Hive Crone,Tyranids,Plastic,Warhammer 40K: 6th Edition,2014
Haruspex,Tyranids,Plastic,Warhammer 40K: 6th Edition,2014
Exocrine,Tyranids,Plastic,Warhammer 40K: 6th Edition,2014
Hive Guard,Tyranids,Plastic,Warhammer 40K: 6th Edition,2014
Tyrant Guard,Tyranids,Plastic,Warhammer 40K: 6th Edition,2014
Tyranid Warriors,Tyranids,Plastic,Warhammer 40K: 6th Edition,2014
Toxicrene,Tyranids,Plastic,Warhammer 40K: 7th Edition,2014
Maleceptor,Tyranids,Plastic,Warhammer 40K: 7th Edition,2014
Tyrannocyte,Tyranids,Plastic,Warhammer 40K: 7th Edition,2014
Sporocyst and Mucolid Spore,Tyranids,Plastic,Warhammer 40K: 7th Edition,2014
Venomthropes,Tyranids,Plastic,Warhammer 40K: 7th Edition,2014
Zoanthropes,Tyranids,Plastic,Warhammer 40K: 7th Edition,2014
Neurothrope,Tyranids,Plastic,Warhammer 40K: 7th Edition,2014
Broodlord,Tyranids,Plastic,Warhammer 40K: 7th Edition,2014
The Parasite of Mortrex,Tyranids,Plastic,Warhammer 40K: 9th Edition,2022
Tyranid Prime,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Termagants,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Psychophage,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Neurogaunts,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Von Ryan's Leapers,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Barbgaunts,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Screamer-Killer,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Neurotyrant,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Neurolictor,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Deathleaper / Lictor,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Norn Assimilator / Norn Emissary,Tyranids,Plastic,Warhammer 40K: 10th Edition,2023
Necron Warriors,Necrons,Plastic,Warhammer 40K: 3rd Edition,2002
Destroyer,Necrons,Plastic,Warhammer 40K: 3rd Edition,2002
C'tan Shard of The Nightbringer,Necrons,Finecast,Warhammer 40K: 3rd Edition,2002
C'tan Shard of The Deceiver,Necrons,Finecast,Warhammer 40K: 3rd Edition,2002
Monolith,Necrons,Plastic,Warhammer 40K: 3rd Edition,2002
Necron Lord with Resurrection Orb,Necrons,Finecast,Warhammer 40K: 4th Edition,2007
Ghost Ark,Necrons,Plastic,Warhammer 40K: 5th Edition,2011
Doomsday Ark,Necrons,Plastic,Warhammer 40K: 5th Edition,2011
Catacomb Command Barge,Necrons,Plastic,Warhammer 40K: 5th Edition,2011
Annihilation Barge,Necrons,Plastic,Warhammer 40K: 5th Edition,2011
Immortals,Necrons,Plastic,Warhammer 40K: 5th Edition,2011
Deathmarks,Necrons,Plastic,Warhammer 40K: 5th Edition,2011
Lychguard,Necrons,Plastic,Warhammer 40K: 5th Edition,2011
Triarch Praetorians,Necrons,Plastic,Warhammer 40K: 5th Edition,2011
Imotekh the Stormlord,Necrons,Finecast,Warhammer 40K: 5th Edition,2011
Trazyn The Infinite,Necrons,Finecast,Warhammer 40K: 5th Edition,2011
Necron Overlord with Warscythe,Necrons,Finecast,Warhammer 40K: 5th Edition,2011
Cryptek,Necrons,Finecast,Warhammer 40K: 5th Edition,2011
Flayed Ones,Necrons,Finecast,Warhammer 40K: 5th Edition,2011
Triarch Stalker,Necrons,Plastic,Warhammer 40K: 5th Edition,2012
Tomb Blades,Necrons,Plastic,Warhammer 40K: 5th Edition,2012
Canoptek Wraiths,Necrons,Plastic,Warhammer 40K: 5th Edition,2012
Canoptek Spyder,Necrons,Plastic,Warhammer 40K: 5th Edition,2012
Destroyer Lord Upgrade Pack,Necrons,Finecast,Warhammer 40K: 5th Edition,2012
Heavy Destroyer Upgrade Pack,Necrons,Finecast,Warhammer 40K: 5th Edition,2012
Nemesor Zahndrekh,Necrons,Finecast,Warhammer 40K: 5th Edition,2012
Vargard Obyron,Necrons,Finecast,Warhammer 40K: 5th Edition,2012
Doom Scythe,Necrons,Plastic,Warhammer 40K: 6th Edition,2012
Night Scythe,Necrons,Plastic,Warhammer 40K: 6th Edition,2012
Anrakyr The Traveller,Necrons,Finecast,Warhammer 40K: 6th Edition,2012
Orikan the Diviner,Necrons,Finecast,Warhammer 40K: 6th Edition,2012
Tesseract Vault,Necrons,Plastic,Warhammer 40K: 6th Edition,2013
Obelisk,Necrons,Plastic,Warhammer 40K: 6th Edition,2013
Necron Overlord,Necrons,Plastic,Warhammer 40K: 7th Edition,2015
Necron Cryptek,Necrons,Plastic,Warhammer 40K: 8th Edition,2018
Illuminor Szeras,Necrons,Plastic,Warhammer 40K: 8th Edition,2020
Overlord,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Royal Warden,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Plasmancer,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Cryptothralls,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Skorpeth Lord,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Canoptek Reanimator,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Skorpeth Destroyers,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Plasmacyte,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Canoptek Scarab Swarms,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Necron Warriors,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Lokhust Heavy Destroyers,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Canoptek Doomstalker,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
"Szarekh, The Silent King",Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Hexmark Destroyer ,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Convergence of Dominion,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
C'tan Shard of the Void Dragon,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Monolith,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Ophydian Destroyers,Necrons,Plastic,Warhammer 40K: 9th Edition,2020
Psychomancer,Necrons,Plastic,Warhammer 40K: 9th Edition,2021
Chronomancer,Necrons,Plastic,Warhammer 40K: 9th Edition,2021
Flayed Ones,Necrons,Plastic,Warhammer 40K: 9th Edition,2021
Necrons: Orikan the Diviner,Necrons,Plastic,Warhammer 40K: 10th Edition,2023
Necrons: Overlord with Translocation Shroud,Necrons,Plastic,Warhammer 40K: 10th Edition,2023
Necrons: Imotekh the Stormlord,Necrons,Plastic,Warhammer 40K: 10th Edition,2023
Warboss with Big Choppa,Orks,Metal,Warhammer 40K: 3rd Edition,1999
Ork Boyz,Orks,Plastic,Warhammer 40K: 3rd Edition,1999
DeffKopta,Orks,Metal,Warhammer 40K: 3rd Edition,2000
Mad Dok Grotsnik,Orks,Finecast,Warhammer 40K: 3rd Edition,2000
Ork Kommandos,Orks,Finecast,Warhammer 40K: 4th Edition,2006
Big Mek With Kustom Force Field,Orks,Finecast,Warhammer 40K: 4th Edition,2006
Trukk,Orks,Plastic,Warhammer 40K: 4th Edition,2008
Warbiker Mob,Orks,Plastic,Warhammer 40K: 4th Edition,2008
Ork Boyz – Heavy weapons & Nobs,Orks,Plastic,Warhammer 40K: 4th Edition,2008
Lootas,Orks,Plastic,Warhammer 40K: 4th Edition,2008
Burna Boyz,Orks,Plastic,Warhammer 40K: 4th Edition,2008
Tankbustas,Orks,Finecast,Warhammer 40K: 4th Edition,2008
Ork Nob with Waaagh! Banner,Orks,Finecast,Warhammer 40K: 4th Edition,2008
Weirdboy,Orks,Finecast,Warhammer 40K: 4th Edition,2008
Stormboyz,Orks,Plastic,Warhammer 40K: 5th Edition,2009
Gretchin,Orks,Plastic,Warhammer 40K: 5th Edition,2009
Nobz,Orks,Plastic,Warhammer 40K: 5th Edition,2009
Battlewagon,Orks,Plastic,Warhammer 40K: 5th Edition,2009
Boss Zagstruk,Orks,Finecast,Warhammer 40K: 5th Edition,2009
Kaptin Badrukk,Orks,Finecast,Warhammer 40K: 5th Edition,2009
Boss Snikrot,Orks,Finecast,Warhammer 40K: 5th Edition,2009
Stompa,Orks,Plastic,Warhammer 40K: 5th Edition,2009
Deff Dread,Orks,Plastic,Warhammer 40K: 5th Edition,2010
Killa Kans,Orks,Plastic,Warhammer 40K: 5th Edition,2010
Dakkajet,Orks,Plastic,Warhammer 40K: 6th Edition,2012
Burna-bommer,Orks,Plastic,Warhammer 40K: 6th Edition,2012
Blitza-bommer,Orks,Plastic,Warhammer 40K: 6th Edition,2012
Gorkanaut,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Morkanaut,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Warboss Grukk's Boss-Mob,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Deff Rolla,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Flash Gitz,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Big Mek with Shock Attack Gun,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Painboy,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Mek,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Mek Gunz,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Meganobz,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Big Mek in Mega Armour,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Trukk Boyz,Orks,Plastic,Warhammer 40K: 7th Edition,2014
Wazbom Blastajet,Orks,Plastic,Warhammer 40K: 7th Edition,2016
Shokkjump Dragsta,Orks,Plastic,Warhammer 40K: 8th Edition,2018
Kustom Boosta-Blasta,Orks,Plastic,Warhammer 40K: 8th Edition,2018
Deffkilla Wartrike,Orks,Plastic,Warhammer 40K: 8th Edition,2018
Megatrakk Scrapjet,Orks,Plastic,Warhammer 40K: 8th Edition,2018
Rukkatrukk Squigbuggy,Orks,Plastic,Warhammer 40K: 8th Edition,2018
Boomdakka Snazzwagon,Orks,Plastic,Warhammer 40K: 8th Edition,2018
Ghazghkull Thraka,Orks,Plastic,Warhammer 40K: 8th Edition,2020
Makari,Orks,Plastic,Warhammer 40K: 8th Edition,2020
Zodgrod Wortsnagga ,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Nob on Smasha Squig,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Squighog Boyz ,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Bomb Squig ,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Beast Snagga Boyz ,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Beastboss,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Boyz,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Warboss in Mega Armour,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Deffkoptas,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Kill Rig,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Hunta Rig,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Painboss,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Mozrog Skragbad,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Beastboss on Squigosaur,Orks,Plastic,Warhammer 40K: 9th Edition,2021
Ork Warboss with Attack Squig,Orks,Plastic,Warhammer 40K: 9th Edition,2022
Kill Team: Kommandos,Orks,Plastic,Warhammer 40K: 9th Edition,2022
Big Mek,Orks,Plastic,Warhammer 40K: 10th Edition,2024
Ethereal,Tau_Empire,Finecast,Warhammer 40K: 3rd Edition,2001
Kroot Shaper,Tau_Empire,Metal,Warhammer 40K: 3rd Edition,2001
Kroot Carnivore Squad,Tau_Empire,Plastic,Warhammer 40K: 3rd Edition,2001
Kroot Hounds,Tau_Empire,Finecast,Warhammer 40K: 3rd Edition,2001
TY7 Devilfish,Tau_Empire,Plastic,Warhammer 40K: 3rd Edition,2001
Aun Shi Tau Ethereal,Tau_Empire,Metal,Warhammer 40K: 3rd Edition,2001
Krootox,Tau_Empire,Finecast,Warhammer 40K: 3rd Edition,2001
Hammerhead Gunship,Tau_Empire,Plastic,Warhammer 40K: 3rd Edition,2001
MV71 Sniper Drones & Firesight Marksman,Tau_Empire,Finecast,Warhammer 40K: 4th Edition,2006
Ethereal with Honour Blade,Tau_Empire,Finecast,Warhammer 40K: 4th Edition,2006
TX4 Piranha,Tau_Empire,Plastic,Warhammer 40K: 4th Edition,2006
Vespid Stingwings,Tau_Empire,Finecast,Warhammer 40K: 4th Edition,2006
"Aun'Va, Master of the Undying Spirit",Tau_Empire,Finecast,Warhammer 40K: 4th Edition,2006
TX78 Sky Ray Gunship,Tau_Empire,Plastic,Warhammer 40K: 4th Edition,2006
XV25 Stealth Suits,Tau_Empire,Plastic,Warhammer 40K: 4th Edition,2006
XV104 Riptide Battlesuit,Tau_Empire,Plastic,Warhammer 40K: 6th Edition,2013
Sun Shark Bomber,Tau_Empire,Plastic,Warhammer 40K: 6th Edition,2013
Razorshark Fighter,Tau_Empire,Plastic,Warhammer 40K: 6th Edition,2013
Hammerhead,Tau_Empire,Plastic,Warhammer 40K: 6th Edition,2013
Sky Ray Gunship,Tau_Empire,Plastic,Warhammer 40K: 6th Edition,2013
Pathfinder Team,Tau_Empire,Plastic,Warhammer 40K: 6th Edition,2013
XV88 Broadside Battlesuit,Tau_Empire,Plastic,Warhammer 40K: 6th Edition,2013
Cadre Fireblade,Tau_Empire,Plastic,Warhammer 40K: 6th Edition,2013
Darkstrider,Tau_Empire,Finecast,Warhammer 40K: 6th Edition,2013
Longstrike (Upgrade),Tau_Empire,Finecast,Warhammer 40K: 6th Edition,2013
Commander Farsight,Tau_Empire,Finecast,Warhammer 40K: 6th Edition,2013
XV95 Ghostkeel Battlesuit,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
Fire Warriors Strike Team,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
Fire Warriors Breacher Team,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
XV8 Crisis Battlesuits,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
T'au Empire Commander XV85,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
T'au Empire Commander XV86 Coldstar,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
Tactical Drones,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
KV128 Stormsurge,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
XV95 Ghostkeel,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
Ethereal,Tau_Empire,Plastic,Warhammer 40K: 7th Edition,2015
Commander Shadowsun,Tau_Empire,Plastic,Warhammer 40K: 8th Edition,2020
Darkstrider,Tau_Empire,Plastic,Warhammer 40K: 9th Edition,2022
Kill Team: T’au Pathfinders,Tau_Empire,Plastic,Warhammer 40K: 9th Edition,2022
Codex: T'au,Tau_Empire,Plastic,Warhammer 40K: 10th Edition,2024
Kroot Hunting Pack,Tau_Empire,Plastic,Warhammer 40K: 10th Edition,2023
Kroot Carnivores,Tau_Empire,Plastic,Warhammer 40K: 10th Edition,2023
Krootox Rider,Tau_Empire,Plastic,Warhammer 40K: 10th Edition,2023
Veteran Kroot War Shaper,Tau_Empire,Plastic,Warhammer 40K: 10th Edition,2023
Flesh Shaper,Tau_Empire,Plastic,Warhammer 40K: 10th Edition,2023
Kroot Rampagers,Tau_Empire,Plastic,Warhammer 40K: 10th Edition,2023
Kill Team : Farstalker Kinband,Tau_Empire,Plastic,Warhammer 40K: 10th Edition,
Servitor(s) with Servo-Arm,Space_Marines,Finecast,Warhammer 40K: Rogue Trader,1993
Bike Squad,Space_Marines,Plastic,Warhammer 40K: 2nd Edition,1996
Attack Bike,Space_Marines,Plastic,Warhammer 40K: 2nd Edition,1997
Land Speeder,Space_Marines,Plastic,Warhammer 40K: 3rd Edition,1998
Land Raider,Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2000
Dreadnought,Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2001
Rhino,Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2002
Predator,Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2002
Bike Squad,Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2002
